State,City,Population
Alabama,Abernant,"7,599"
Alabama,Alabaster,"31,545"
Alabama,Albertville,"21,458"
Alabama,Alexander City,"14,849"
Alabama,Andalusia,"9,081"
Alabama,Anniston,"22,457"
Alabama,Arab,"8,284"
Alabama,Athens,"24,522"
Alabama,Atmore,"10,006"
Alabama,Auburn,"60,258"
Alabama,Bay Minette,"9,049"
Alabama,Beauregard-Marvyn,"10,469"
Alabama,Bessemer,"26,949"
Alabama,Beulah,"6,187"
Alabama,Big Sandy-Duncanville,"8,894"
Alabama,Birmingham,"212,247"
Alabama,Boaz,"9,689"
Alabama,Bremen,"8,517"
Alabama,Brook Highland,"6,746"
Alabama,Calera,"12,972"
Alabama,Center Point,"16,777"
Alabama,Chelsea,"11,758"
Alabama,Clanton,"8,727"
Alabama,Clay,"9,700"
Alabama,Cloverdale,"6,209"
Alabama,Concord-Hopkins,"7,259"
Alabama,Craig-Tyler,"6,843"
Alabama,Cullman,"15,145"
Alabama,Danville,"6,242"
Alabama,Daphne,"24,395"
Alabama,Decatur,"55,532"
Alabama,Demopolis,"7,182"
Alabama,Dothan,"68,409"
Alabama,Enterprise,"27,772"
Alabama,Eufaula,"12,781"
Alabama,Fairfield,"10,988"
Alabama,Fairhope,"18,089"
Alabama,Florence,"40,215"
Alabama,Foley,"16,243"
Alabama,Forestdale,"10,162"
Alabama,Fort Payne,"14,125"
Alabama,Fultondale,"8,908"
Alabama,Gadsden,"36,295"
Alabama,Gardendale,"13,729"
Alabama,Greenville,"7,902"
Alabama,Greenwood,"14,409"
Alabama,Gulf Shores,"10,963"
Alabama,Guntersville,"8,358"
Alabama,Hamilton,"6,790"
Alabama,Hartselle,"14,459"
Alabama,Helena,"17,883"
Alabama,Homewood,"25,802"
Alabama,Hoover,"84,353"
Alabama,Hope Hull,"8,913"
Alabama,Hueytown,"15,815"
Alabama,Huntsville,"188,226"
Alabama,Irondale,"12,444"
Alabama,Jacksonville,"12,250"
Alabama,Jasper,"14,109"
Alabama,Laceys Spring,"9,055"
Alabama,Lake Purdy,"7,362"
Alabama,Lanett,"6,447"
Alabama,Langdale,"13,528"
Alabama,Leeds,"11,939"
Alabama,Lincoln,"6,438"
Alabama,Long Island,"6,081"
Alabama,Madison Crossroads,"10,779"
Alabama,Madison,"46,450"
Alabama,Meadowbrook,"8,769"
Alabama,Meridianville,"6,021"
Alabama,Millbrook,"15,169"
Alabama,Mobile,"194,675"
Alabama,Monroeville,"6,189"
Alabama,Montevallo,"6,601"
Alabama,Montgomery,"200,481"
Alabama,Moody,"12,457"
Alabama,Morris Chapel,"11,091"
Alabama,Mountain Brook,"20,734"
Alabama,Muscle Shoals,"13,614"
Alabama,Northport,"24,709"
Alabama,Oneonta,"6,627"
Alabama,Opelika,"29,171"
Alabama,Opp,"6,677"
Alabama,Oxford,"21,155"
Alabama,Ozark,"14,700"
Alabama,Pelham,"22,699"
Alabama,Pell City,"13,573"
Alabama,Phenix City,"37,540"
Alabama,Pike Road,"7,933"
Alabama,Pinson,"7,143"
